,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,gender_map,race/ethinicity_map,parental_level_of_education_map,lunch_map,test_preparation_course_map,Result,math_performance,reading_performance,writing_performance,total,percentage,grades,Result_map,grades_map
24,24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,0,4,1,2,1,Pass,1,1,1,225,75.0,first,1,3
25,25,male,group A,master's degree,free/reduced,none,73,74,72,0,3,2,2,0,Pass,1,1,1,219,73.0,first,1,3
26,26,male,group B,some college,standard,none,69,54,55,0,1,6,1,0,Pass,1,1,1,178,59.333333333333336,second,1,2
27,27,female,group C,bachelor's degree,standard,none,67,69,75,1,2,1,1,0,Pass,1,1,1,211,70.33333333333334,first,1,3
28,28,male,group C,high school,standard,none,70,70,65,0,2,4,1,0,Pass,1,1,1,205,68.33333333333333,first,1,3
29,29,female,group D,master's degree,standard,none,62,70,75,1,4,2,1,0,Pass,1,1,1,207,69.0,first,1,3
30,30,female,group D,some college,standard,none,69,74,74,1,4,6,1,0,Pass,1,1,1,217,72.33333333333334,first,1,3
31,31,female,group B,some college,standard,none,63,65,61,1,1,6,1,0,Pass,1,1,1,189,63.0,first,1,3
32,32,female,group E,master's degree,free/reduced,none,56,72,65,1,5,2,2,0,Pass,1,1,1,193,64.33333333333333,first,1,3
33,33,male,group D,some college,standard,none,40,42,38,0,4,6,1,0,Fail,1,1,0,120,40.0,fail,0,0
34,34,male,group E,some college,standard,none,97,87,82,0,5,6,1,0,Pass,1,1,1,266,88.66666666666667,Distinction,1,4
35,35,male,group E,associate's degree,standard,completed,81,81,79,0,5,3,1,1,Pass,1,1,1,241,80.33333333333333,Distinction,1,4
36,36,female,group D,associate's degree,standard,none,74,81,83,1,4,3,1,0,Pass,1,1,1,238,79.33333333333333,first,1,3
37,37,female,group D,some high school,free/reduced,none,50,64,59,1,4,5,2,0,Pass,1,1,1,173,57.666666666666664,second,1,2
38,38,female,group D,associate's degree,free/reduced,completed,75,90,88,1,4,3,2,1,Pass,1,1,1,253,84.33333333333334,Distinction,1,4
39,39,male,group B,associate's degree,free/reduced,none,57,56,57,0,1,3,2,0,Pass,1,1,1,170,56.666666666666664,second,1,2
40,40,male,group C,associate's degree,free/reduced,none,55,61,54,0,2,3,2,0,Pass,1,1,1,170,56.666666666666664,second,1,2
41,41,female,group C,associate's degree,standard,none,58,73,68,1,2,3,1,0,Pass,1,1,1,199,66.33333333333333,first,1,3
42,42,female,group B,associate's degree,standard,none,53,58,65,1,1,3,1,0,Pass,1,1,1,176,58.666666666666664,second,1,2
43,43,male,group B,some college,free/reduced,completed,59,65,66,0,1,6,2,1,Pass,1,1,1,190,63.33333333333333,first,1,3
44,44,female,group E,associate's degree,free/reduced,none,50,56,54,1,5,3,2,0,Pass,1,1,1,160,53.333333333333336,second,1,2
45,45,male,group B,associate's degree,standard,none,65,54,57,0,1,3,1,0,Pass,1,1,1,176,58.666666666666664,second,1,2
46,46,female,group A,associate's degree,standard,completed,55,65,62,1,3,3,1,1,Pass,1,1,1,182,60.66666666666667,first,1,3
47,47,female,group C,high school,standard,none,66,71,76,1,2,4,1,0,Pass,1,1,1,213,71.0,first,1,3
48,48,female,group D,associate's degree,free/reduced,completed,57,74,76,1,4,3,2,1,Pass,1,1,1,207,69.0,first,1,3
49,49,male,group C,high school,standard,completed,82,84,82,0,2,4,1,1,Pass,1,1,1,248,82.66666666666667,Distinction,1,4
50,50,male,group E,some college,standard,none,53,55,48,0,5,6,1,0,Pass,1,1,1,156,52.0,second,1,2
51,51,male,group E,associate's degree,free/reduced,completed,77,69,68,0,5,3,2,1,Pass,1,1,1,214,71.33333333333334,first,1,3
52,52,male,group C,some college,standard,none,53,44,42,0,2,6,1,0,Pass,1,1,1,139,46.33333333333333,third,1,1
53,53,male,group D,high school,standard,none,88,78,75,0,4,4,1,0,Pass,1,1,1,241,80.33333333333333,Distinction,1,4
54,54,female,group C,some high school,free/reduced,completed,71,84,87,1,2,5,2,1,Pass,1,1,1,242,80.66666666666666,Distinction,1,4
55,55,female,group C,high school,free/reduced,none,33,41,43,1,2,4,2,0,Fail,0,1,1,117,39.0,fail,0,0
56,56,female,group E,associate's degree,standard,completed,82,85,86,1,5,3,1,1,Pass,1,1,1,253,84.33333333333334,Distinction,1,4
57,57,male,group D,associate's degree,standard,none,52,55,49,0,4,3,1,0,Pass,1,1,1,156,52.0,second,1,2
58,58,male,group D,some college,standard,completed,58,59,58,0,4,6,1,1,Pass,1,1,1,175,58.333333333333336,second,1,2
59,59,female,group C,some high school,free/reduced,none,0,17,10,1,2,5,2,0,Fail,0,0,0,27,9.0,fail,0,0
60,60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,0,5,1,2,1,Pass,1,1,1,225,75.0,first,1,3
61,61,male,group A,some high school,free/reduced,none,39,39,34,0,3,5,2,0,Fail,0,0,0,112,37.333333333333336,fail,0,0
62,62,male,group A,associate's degree,free/reduced,none,62,61,55,0,3,3,2,0,Pass,1,1,1,178,59.333333333333336,second,1,2
63,63,female,group C,associate's degree,standard,none,69,80,71,1,2,3,1,0,Pass,1,1,1,220,73.33333333333333,first,1,3
64,64,female,group D,some high school,standard,none,59,58,59,1,4,5,1,0,Pass,1,1,1,176,58.666666666666664,second,1,2
65,65,male,group B,some high school,standard,none,67,64,61,0,1,5,1,0,Pass,1,1,1,192,64.0,first,1,3
66,66,male,group D,some high school,free/reduced,none,45,37,37,0,4,5,2,0,Fail,1,0,0,119,39.666666666666664,fail,0,0
67,67,female,group C,some college,standard,none,60,72,74,1,2,6,1,0,Pass,1,1,1,206,68.66666666666667,first,1,3
68,68,male,group B,associate's degree,free/reduced,none,61,58,56,0,1,3,2,0,Pass,1,1,1,175,58.333333333333336,second,1,2
69,69,female,group C,associate's degree,standard,none,39,64,57,1,2,3,1,0,Fail,0,1,1,160,53.333333333333336,fail,0,0
70,70,female,group D,some college,free/reduced,completed,58,63,73,1,4,6,2,1,Pass,1,1,1,194,64.66666666666666,first,1,3
71,71,male,group D,some college,standard,completed,63,55,63,0,4,6,1,1,Pass,1,1,1,181,60.333333333333336,first,1,3
72,72,female,group A,associate's degree,free/reduced,none,41,51,48,1,3,3,2,0,Pass,1,1,1,140,46.666666666666664,third,1,1
73,73,male,group C,some high school,free/reduced,none,61,57,56,0,2,5,2,0,Pass,1,1,1,174,57.99999999999999,second,1,2
74,74,male,group C,some high school,standard,none,49,49,41,0,2,5,1,0,Pass,1,1,1,139,46.33333333333333,third,1,1
75,75,male,group B,associate's degree,free/reduced,none,44,41,38,0,1,3,2,0,Fail,1,1,0,123,41.0,fail,0,0
76,76,male,group E,some high school,standard,none,30,26,22,0,5,5,1,0,Fail,0,0,0,78,26.0,fail,0,0
77,77,male,group A,bachelor's degree,standard,completed,80,78,81,0,3,1,1,1,Pass,1,1,1,239,79.66666666666666,first,1,3
78,78,female,group D,some high school,standard,completed,61,74,72,1,4,5,1,1,Pass,1,1,1,207,69.0,first,1,3
79,79,female,group E,master's degree,standard,none,62,68,68,1,5,2,1,0,Pass,1,1,1,198,66.0,first,1,3
80,80,female,group B,associate's degree,standard,none,47,49,50,1,1,3,1,0,Pass,1,1,1,146,48.66666666666667,third,1,1
81,81,male,group B,high school,free/reduced,none,49,45,45,0,1,4,2,0,Pass,1,1,1,139,46.33333333333333,third,1,1
82,82,male,group A,some college,free/reduced,completed,50,47,54,0,3,6,2,1,Pass,1,1,1,151,50.33333333333333,second,1,2
83,83,male,group E,associate's degree,standard,none,72,64,63,0,5,3,1,0,Pass,1,1,1,199,66.33333333333333,first,1,3
84,84,male,group D,high school,free/reduced,none,42,39,34,0,4,4,2,0,Fail,1,0,0,115,38.333333333333336,fail,0,0
85,85,female,group C,some college,standard,none,73,80,82,1,2,6,1,0,Pass,1,1,1,235,78.33333333333333,first,1,3
86,86,female,group C,some college,free/reduced,none,76,83,88,1,2,6,2,0,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
87,87,female,group D,associate's degree,standard,none,71,71,74,1,4,3,1,0,Pass,1,1,1,216,72.0,first,1,3
88,88,female,group A,some college,standard,none,58,70,67,1,3,6,1,0,Pass,1,1,1,195,65.0,first,1,3
89,89,female,group D,some high school,standard,none,73,86,82,1,4,5,1,0,Pass,1,1,1,241,80.33333333333333,Distinction,1,4
90,90,female,group C,bachelor's degree,standard,none,65,72,74,1,2,1,1,0,Pass,1,1,1,211,70.33333333333334,first,1,3
91,91,male,group C,high school,free/reduced,none,27,34,36,0,2,4,2,0,Fail,0,0,0,97,32.33333333333333,fail,0,0
92,92,male,group C,high school,standard,none,71,79,71,0,2,4,1,0,Pass,1,1,1,221,73.66666666666667,first,1,3
93,93,male,group C,associate's degree,free/reduced,completed,43,45,50,0,2,3,2,1,Pass,1,1,1,138,46.0,third,1,1
94,94,female,group B,some college,standard,none,79,86,92,1,1,6,1,0,Pass,1,1,1,257,85.66666666666667,Distinction,1,4
95,95,male,group C,associate's degree,free/reduced,completed,78,81,82,0,2,3,2,1,Pass,1,1,1,241,80.33333333333333,Distinction,1,4
96,96,male,group B,some high school,standard,completed,65,66,62,0,1,5,1,1,Pass,1,1,1,193,64.33333333333333,first,1,3
97,97,female,group E,some college,standard,completed,63,72,70,1,5,6,1,1,Pass,1,1,1,205,68.33333333333333,first,1,3
98,98,female,group D,some college,free/reduced,none,58,67,62,1,4,6,2,0,Pass,1,1,1,187,62.33333333333333,first,1,3
99,99,female,group D,bachelor's degree,standard,none,65,67,62,1,4,1,1,0,Pass,1,1,1,194,64.66666666666666,first,1,3
100,100,male,group B,some college,standard,none,79,67,67,0,1,6,1,0,Pass,1,1,1,213,71.0,first,1,3
101,101,male,group D,bachelor's degree,standard,completed,68,74,74,0,4,1,1,1,Pass,1,1,1,216,72.0,first,1,3
102,102,female,group D,associate's degree,standard,none,85,91,89,1,4,3,1,0,Pass,1,1,1,265,88.33333333333333,Distinction,1,4
103,103,male,group B,high school,standard,completed,60,44,47,0,1,4,1,1,Pass,1,1,1,151,50.33333333333333,second,1,2
104,104,male,group C,some college,standard,completed,98,86,90,0,2,6,1,1,Pass,1,1,1,274,91.33333333333333,Distinction,1,4
105,105,female,group C,some college,standard,none,58,67,72,1,2,6,1,0,Pass,1,1,1,197,65.66666666666666,first,1,3
106,106,female,group D,master's degree,standard,none,87,100,100,1,4,2,1,0,Pass,1,1,1,287,95.66666666666667,Distinction,1,4
107,107,male,group E,associate's degree,standard,completed,66,63,64,0,5,3,1,1,Pass,1,1,1,193,64.33333333333333,first,1,3
108,108,female,group B,associate's degree,free/reduced,none,52,76,70,1,1,3,2,0,Pass,1,1,1,198,66.0,first,1,3
109,109,female,group B,some high school,standard,none,70,64,72,1,1,5,1,0,Pass,1,1,1,206,68.66666666666667,first,1,3
110,110,female,group D,associate's degree,free/reduced,completed,77,89,98,1,4,3,2,1,Pass,1,1,1,264,88.0,Distinction,1,4
111,111,male,group C,high school,standard,none,62,55,49,0,2,4,1,0,Pass,1,1,1,166,55.333333333333336,second,1,2
112,112,male,group A,associate's degree,standard,none,54,53,47,0,3,3,1,0,Pass,1,1,1,154,51.33333333333333,second,1,2
113,113,female,group D,some college,standard,none,51,58,54,1,4,6,1,0,Pass,1,1,1,163,54.333333333333336,second,1,2
114,114,female,group E,bachelor's degree,standard,completed,99,100,100,1,5,1,1,1,Pass,1,1,1,299,99.66666666666667,Distinction,1,4
115,115,male,group C,high school,standard,none,84,77,74,0,2,4,1,0,Pass,1,1,1,235,78.33333333333333,first,1,3
116,116,female,group B,bachelor's degree,free/reduced,none,75,85,82,1,1,1,2,0,Pass,1,1,1,242,80.66666666666666,Distinction,1,4
117,117,female,group D,bachelor's degree,standard,none,78,82,79,1,4,1,1,0,Pass,1,1,1,239,79.66666666666666,first,1,3
118,118,female,group D,some high school,standard,none,51,63,61,1,4,5,1,0,Pass,1,1,1,175,58.333333333333336,second,1,2
119,119,female,group C,some college,standard,none,55,69,65,1,2,6,1,0,Pass,1,1,1,189,63.0,first,1,3
120,120,female,group C,bachelor's degree,standard,completed,79,92,89,1,2,1,1,1,Pass,1,1,1,260,86.66666666666667,Distinction,1,4
121,121,male,group B,associate's degree,standard,completed,91,89,92,0,1,3,1,1,Pass,1,1,1,272,90.66666666666666,Distinction,1,4
122,122,female,group C,some college,standard,completed,88,93,93,1,2,6,1,1,Pass,1,1,1,274,91.33333333333333,Distinction,1,4
123,123,male,group D,high school,free/reduced,none,63,57,56,0,4,4,2,0,Pass,1,1,1,176,58.666666666666664,second,1,2
124,124,male,group E,some college,standard,none,83,80,73,0,5,6,1,0,Pass,1,1,1,236,78.66666666666666,first,1,3
125,125,female,group B,high school,standard,none,87,95,86,1,1,4,1,0,Pass,1,1,1,268,89.33333333333333,Distinction,1,4
126,126,male,group B,some high school,standard,none,72,68,67,0,1,5,1,0,Pass,1,1,1,207,69.0,first,1,3
127,127,male,group D,some college,standard,completed,65,77,74,0,4,6,1,1,Pass,1,1,1,216,72.0,first,1,3
128,128,male,group D,master's degree,standard,none,82,82,74,0,4,2,1,0,Pass,1,1,1,238,79.33333333333333,first,1,3
129,129,female,group A,bachelor's degree,standard,none,51,49,51,1,3,1,1,0,Pass,1,1,1,151,50.33333333333333,second,1,2
130,130,male,group D,master's degree,standard,none,89,84,82,0,4,2,1,0,Pass,1,1,1,255,85.0,Distinction,1,4
131,131,male,group C,some high school,free/reduced,completed,53,37,40,0,2,5,2,1,Fail,1,0,1,130,43.333333333333336,fail,0,0
132,132,male,group E,some college,free/reduced,completed,87,74,70,0,5,6,2,1,Pass,1,1,1,231,77.0,first,1,3
133,133,female,group C,some college,standard,completed,75,81,84,1,2,6,1,1,Pass,1,1,1,240,80.0,Distinction,1,4
134,134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,0,4,1,2,1,Pass,1,1,1,228,76.0,first,1,3
135,135,male,group C,bachelor's degree,standard,none,58,55,48,0,2,1,1,0,Pass,1,1,1,161,53.666666666666664,second,1,2
136,136,male,group B,some high school,standard,completed,51,54,41,0,1,5,1,1,Pass,1,1,1,146,48.66666666666667,third,1,1
137,137,male,group E,high school,standard,none,70,55,56,0,5,4,1,0,Pass,1,1,1,181,60.333333333333336,first,1,3
138,138,female,group C,associate's degree,standard,none,59,66,67,1,2,3,1,0,Pass,1,1,1,192,64.0,first,1,3
139,139,male,group D,some college,standard,completed,71,61,69,0,4,6,1,1,Pass,1,1,1,201,67.0,first,1,3
140,140,female,group D,some high school,standard,none,76,72,71,1,4,5,1,0,Pass,1,1,1,219,73.0,first,1,3
141,141,female,group C,some college,free/reduced,none,59,62,64,1,2,6,2,0,Pass,1,1,1,185,61.66666666666667,first,1,3
142,142,female,group E,some college,free/reduced,completed,42,55,54,1,5,6,2,1,Pass,1,1,1,151,50.33333333333333,second,1,2
143,143,male,group A,high school,standard,none,57,43,47,0,3,4,1,0,Pass,1,1,1,147,49.0,third,1,1
144,144,male,group D,some college,standard,none,88,73,78,0,4,6,1,0,Pass,1,1,1,239,79.66666666666666,first,1,3
145,145,female,group C,some college,free/reduced,none,22,39,33,1,2,6,2,0,Fail,0,0,0,94,31.333333333333336,fail,0,0
146,146,male,group B,some high school,standard,none,88,84,75,0,1,5,1,0,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
147,147,male,group C,associate's degree,free/reduced,none,73,68,66,0,2,3,2,0,Pass,1,1,1,207,69.0,first,1,3
148,148,female,group D,bachelor's degree,standard,completed,68,75,81,1,4,1,1,1,Pass,1,1,1,224,74.66666666666667,first,1,3
149,149,male,group E,associate's degree,free/reduced,completed,100,100,93,0,5,3,2,1,Pass,1,1,1,293,97.66666666666667,Distinction,1,4
150,150,male,group A,some high school,standard,completed,62,67,69,0,3,5,1,1,Pass,1,1,1,198,66.0,first,1,3
151,151,male,group A,bachelor's degree,standard,none,77,67,68,0,3,1,1,0,Pass,1,1,1,212,70.66666666666667,first,1,3
152,152,female,group B,associate's degree,standard,completed,59,70,66,1,1,3,1,1,Pass,1,1,1,195,65.0,first,1,3
153,153,male,group D,bachelor's degree,standard,none,54,49,47,0,4,1,1,0,Pass,1,1,1,150,50.0,third,1,1
154,154,male,group D,some high school,standard,none,62,67,61,0,4,5,1,0,Pass,1,1,1,190,63.33333333333333,first,1,3
155,155,female,group C,some college,standard,completed,70,89,88,1,2,6,1,1,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
156,156,female,group E,high school,free/reduced,completed,66,74,78,1,5,4,2,1,Pass,1,1,1,218,72.66666666666667,first,1,3
157,157,male,group B,some college,free/reduced,none,60,60,60,0,1,6,2,0,Pass,1,1,1,180,60.0,second,1,2
158,158,female,group B,associate's degree,standard,completed,61,86,87,1,1,3,1,1,Pass,1,1,1,234,78.0,first,1,3
159,159,male,group D,associate's degree,free/reduced,none,66,62,64,0,4,3,2,0,Pass,1,1,1,192,64.0,first,1,3
160,160,male,group B,associate's degree,free/reduced,completed,82,78,74,0,1,3,2,1,Pass,1,1,1,234,78.0,first,1,3
161,161,female,group E,some college,free/reduced,completed,75,88,85,1,5,6,2,1,Pass,1,1,1,248,82.66666666666667,Distinction,1,4
162,162,male,group B,master's degree,free/reduced,none,49,53,52,0,1,2,2,0,Pass,1,1,1,154,51.33333333333333,second,1,2
163,163,male,group C,high school,standard,none,52,53,49,0,2,4,1,0,Pass,1,1,1,154,51.33333333333333,second,1,2
164,164,female,group E,master's degree,standard,none,81,92,91,1,5,2,1,0,Pass,1,1,1,264,88.0,Distinction,1,4
165,165,female,group C,bachelor's degree,standard,completed,96,100,100,1,2,1,1,1,Pass,1,1,1,296,98.66666666666667,Distinction,1,4
166,166,male,group C,high school,free/reduced,completed,53,51,51,0,2,4,2,1,Pass,1,1,1,155,51.66666666666667,second,1,2
167,167,female,group B,master's degree,free/reduced,completed,58,76,78,1,1,2,2,1,Pass,1,1,1,212,70.66666666666667,first,1,3
168,168,female,group B,high school,standard,completed,68,83,78,1,1,4,1,1,Pass,1,1,1,229,76.33333333333333,first,1,3
169,169,female,group C,some college,free/reduced,completed,67,75,70,1,2,6,2,1,Pass,1,1,1,212,70.66666666666667,first,1,3
170,170,male,group A,high school,standard,completed,72,73,74,0,3,4,1,1,Pass,1,1,1,219,73.0,first,1,3
171,171,male,group E,some high school,standard,none,94,88,78,0,5,5,1,0,Pass,1,1,1,260,86.66666666666667,Distinction,1,4
172,172,female,group D,some college,standard,none,79,86,81,1,4,6,1,0,Pass,1,1,1,246,82.0,Distinction,1,4
173,173,female,group C,associate's degree,standard,none,63,67,70,1,2,3,1,0,Pass,1,1,1,200,66.66666666666666,first,1,3
174,174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,1,2,1,2,1,Pass,1,1,1,148,49.333333333333336,third,1,1
175,175,female,group C,master's degree,standard,completed,81,91,87,1,2,2,1,1,Pass,1,1,1,259,86.33333333333333,Distinction,1,4
176,176,female,group B,high school,free/reduced,completed,46,54,58,1,1,4,2,1,Pass,1,1,1,158,52.666666666666664,second,1,2
177,177,female,group C,associate's degree,standard,completed,71,77,77,1,2,3,1,1,Pass,1,1,1,225,75.0,first,1,3
178,178,female,group B,master's degree,free/reduced,completed,52,70,62,1,1,2,2,1,Pass,1,1,1,184,61.33333333333333,first,1,3
179,179,female,group D,some high school,standard,completed,97,100,100,1,4,5,1,1,Pass,1,1,1,297,99.0,Distinction,1,4
180,180,male,group C,master's degree,free/reduced,completed,62,68,75,0,2,2,2,1,Pass,1,1,1,205,68.33333333333333,first,1,3
181,181,female,group C,some college,free/reduced,none,46,64,66,1,2,6,2,0,Pass,1,1,1,176,58.666666666666664,second,1,2
182,182,female,group E,high school,standard,none,50,50,47,1,5,4,1,0,Pass,1,1,1,147,49.0,third,1,1
183,183,female,group D,associate's degree,standard,none,65,69,70,1,4,3,1,0,Pass,1,1,1,204,68.0,first,1,3
184,184,male,group C,some high school,free/reduced,completed,45,52,49,0,2,5,2,1,Pass,1,1,1,146,48.66666666666667,third,1,1
185,185,male,group C,associate's degree,free/reduced,completed,65,67,65,0,2,3,2,1,Pass,1,1,1,197,65.66666666666666,first,1,3
186,186,male,group E,high school,standard,none,80,76,65,0,5,4,1,0,Pass,1,1,1,221,73.66666666666667,first,1,3
187,187,male,group D,some high school,standard,completed,62,66,68,0,4,5,1,1,Pass,1,1,1,196,65.33333333333333,first,1,3
188,188,male,group B,some high school,free/reduced,none,48,52,45,0,1,5,2,0,Pass,1,1,1,145,48.333333333333336,third,1,1
189,189,female,group C,bachelor's degree,standard,none,77,88,87,1,2,1,1,0,Pass,1,1,1,252,84.0,Distinction,1,4
190,190,female,group E,associate's degree,standard,none,66,65,69,1,5,3,1,0,Pass,1,1,1,200,66.66666666666666,first,1,3
191,191,male,group D,some college,standard,completed,76,83,79,0,4,6,1,1,Pass,1,1,1,238,79.33333333333333,first,1,3
192,192,female,group B,some high school,standard,none,62,64,66,1,1,5,1,0,Pass,1,1,1,192,64.0,first,1,3
193,193,male,group D,some college,standard,completed,77,62,62,0,4,6,1,1,Pass,1,1,1,201,67.0,first,1,3
194,194,female,group C,master's degree,standard,completed,69,84,85,1,2,2,1,1,Pass,1,1,1,238,79.33333333333333,first,1,3
195,195,male,group D,associate's degree,standard,none,61,55,52,0,4,3,1,0,Pass,1,1,1,168,56.00000000000001,second,1,2
196,196,male,group C,some high school,free/reduced,completed,59,69,65,0,2,5,2,1,Pass,1,1,1,193,64.33333333333333,first,1,3
197,197,male,group E,high school,free/reduced,none,55,56,51,0,5,4,2,0,Pass,1,1,1,162,54.0,second,1,2
198,198,female,group B,some college,free/reduced,none,45,53,55,1,1,6,2,0,Pass,1,1,1,153,51.0,second,1,2
199,199,female,group B,bachelor's degree,free/reduced,none,78,79,76,1,1,1,2,0,Pass,1,1,1,233,77.66666666666666,first,1,3
200,200,female,group C,associate's degree,standard,completed,67,84,86,1,2,3,1,1,Pass,1,1,1,237,79.0,first,1,3
201,201,female,group D,some college,free/reduced,none,65,81,77,1,4,6,2,0,Pass,1,1,1,223,74.33333333333333,first,1,3
202,202,male,group C,associate's degree,standard,none,69,77,69,0,2,3,1,0,Pass,1,1,1,215,71.66666666666667,first,1,3
203,203,female,group B,associate's degree,standard,none,57,69,68,1,1,3,1,0,Pass,1,1,1,194,64.66666666666666,first,1,3
204,204,male,group C,some college,standard,none,59,41,42,0,2,6,1,0,Pass,1,1,1,142,47.333333333333336,third,1,1
205,205,male,group D,some high school,standard,completed,74,71,78,0,4,5,1,1,Pass,1,1,1,223,74.33333333333333,first,1,3
206,206,male,group E,bachelor's degree,standard,none,82,62,62,0,5,1,1,0,Pass,1,1,1,206,68.66666666666667,first,1,3
207,207,male,group E,high school,standard,completed,81,80,76,0,5,4,1,1,Pass,1,1,1,237,79.0,first,1,3
208,208,female,group B,some college,free/reduced,none,74,81,76,1,1,6,2,0,Pass,1,1,1,231,77.0,first,1,3
209,209,female,group B,some college,free/reduced,none,58,61,66,1,1,6,2,0,Pass,1,1,1,185,61.66666666666667,first,1,3
210,210,male,group D,some high school,free/reduced,completed,80,79,79,0,4,5,2,1,Pass,1,1,1,238,79.33333333333333,first,1,3
211,211,male,group C,some college,free/reduced,none,35,28,27,0,2,6,2,0,Fail,0,0,0,90,30.0,fail,0,0
212,212,female,group C,high school,free/reduced,none,42,62,60,1,2,4,2,0,Pass,1,1,1,164,54.666666666666664,second,1,2
213,213,male,group C,associate's degree,free/reduced,completed,60,51,56,0,2,3,2,1,Pass,1,1,1,167,55.666666666666664,second,1,2
214,214,male,group E,high school,standard,completed,87,91,81,0,5,4,1,1,Pass,1,1,1,259,86.33333333333333,Distinction,1,4
215,215,male,group B,some high school,standard,completed,84,83,75,0,1,5,1,1,Pass,1,1,1,242,80.66666666666666,Distinction,1,4
216,216,female,group E,associate's degree,free/reduced,completed,83,86,88,1,5,3,2,1,Pass,1,1,1,257,85.66666666666667,Distinction,1,4
217,217,female,group C,high school,free/reduced,none,34,42,39,1,2,4,2,0,Fail,0,1,0,115,38.333333333333336,fail,0,0
218,218,male,group B,high school,free/reduced,none,66,77,70,0,1,4,2,0,Pass,1,1,1,213,71.0,first,1,3
219,219,male,group B,some high school,standard,completed,61,56,56,0,1,5,1,1,Pass,1,1,1,173,57.666666666666664,second,1,2
220,220,female,group D,high school,standard,completed,56,68,74,1,4,4,1,1,Pass,1,1,1,198,66.0,first,1,3
221,221,male,group B,associate's degree,standard,none,87,85,73,0,1,3,1,0,Pass,1,1,1,245,81.66666666666667,Distinction,1,4
222,222,female,group C,some high school,free/reduced,none,55,65,62,1,2,5,2,0,Pass,1,1,1,182,60.66666666666667,first,1,3
